RA,Nome,Fase,Turma,Ano_Dados,Ano_nasc,Idade,Genero,Ano_ingresso,Instituicao_de_ensino,Pedra,INDE,Cg,Cf,Ct,N_Av,Avaliador1,Rec_Av1,Avaliador2,Rec_Av2,Avaliador3,Rec_Av3,Avaliador4,Rec_Av4,IAA,IEG,IPS,IPP,Rec_Psicologia,IDA,Mat,Por,Ing,Indicado,Atingiu_PV,IPV,IAN,Fase_Ideal,Defasagem,Destaque_IEG,Destaque_IDA,Destaque_IPV
RA-1,Aluno-1,7,A,2022,2003,19,Feminino,2016,Escola Pública,Quartzo,5.783,753.0,18.0,10.0,4.0,Avaliador-5,Mantido na Fase atual,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase,Avaliador-31,Mantido na Fase atual,8.3,4.1,5.6,,Requer avaliação,4.0,2.7,3.5,6.0,Sim,Não,7.278,5.0,8.0,-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-10,Aluno-10,7,A,2022,2004,18,Feminino,2021,Escola Pública,Quartzo,5.784,752.0,17.0,9.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,8.3,5.2,5.0,,Requer avaliação,4.1,3.3,2.6,6.4,Não,Não,7.056,5.0,8.0,-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-100,Aluno-100,4,A,2022,2009,13,Feminino,2019,Rede Decisão,Ametista,7.618,268.0,22.0,7.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,8.8,7.8,5.0,,Não indicado,7.6,7.0,7.8,8.1,Não,Não,7.25,10.0,3.0,1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-101,Aluno-101,4,A,2022,2007,15,Feminino,2021,Escola Pública,Ametista,7.305,387.0,31.0,8.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.9,8.3,7.5,,Não atendido,7.6,7.2,6.5,9.2,Sim,Não,6.833,5.0,5.0,-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-102,Aluno-102,4,A,2022,2008,14,Masculino,2019,Escola Pública,Ágata,6.922,519.0,43.0,9.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Promovido de Fase,6.7,7.7,6.9,,Requer avaliação,5.7,4.7,6.8,5.5,Não,Não,6.0,10.0,4.0,0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-103,Aluno-103,4,A,2022,2009,13,Feminino,2020,Rede Decisão,Topázio,8.107,114.0,11.0,4.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.9,8.7,7.5,,Não atendido,7.3,7.3,7.3,7.3,Não,Não,7.708,10.0,3.0,1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-104,Aluno-104,4,A,2022,2004,18,Masculino,2022,Escola Pública,Ágata,6.315,681.0,61.0,11.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,7.9,8.7,7.5,,Não atendido,3.7,4.8,5.8,0.3,Não,Não,6.708,2.5,8.0,-4,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-105,Aluno-105,4,A,2022,2005,17,Masculino,2016,Rede Decisão,Ágata,6.846,542.0,47.0,10.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.9,8.2,5.6,,Requer avaliação,6.7,7.2,6.2,6.8,Não,Não,7.417,2.5,7.0,-3,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-106,Aluno-106,4,A,2022,2007,15,Feminino,2016,Rede Decisão,Ametista,7.973,148.0,13.0,5.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,9.2,8.0,9.4,,Sem limitações,7.4,7.8,7.2,7.2,Não,Sim,8.375,5.0,5.0,-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-107,Aluno-107,4,A,2022,2007,15,Feminino,2018,Escola Pública,Ágata,6.258,693.0,63.0,12.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.5,6.4,7.5,,Sem limitações,4.6,3.3,4.3,6.0,Sim,Não,6.5,5.0,5.0,-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
